OBJECTID,GID,CMPTRL_NBR,CNTY_NM,DIST_NM,DPS_NBR,CNTY_FIPS,CNTY_NBR,DIST_NBR,MSA1990,MSA2000,MSA2010,Shape__Area,Shape__Length
1,35,232,Uvalde,San Antonio,232,48463,232,15,No,No,No,0.376204076825217,2.47566656100157
2,36,143,Lavaca,Yoakum,143,48285,143,13,No,No,No,0.23373696931836,1.92838487555096
3,37,20,Brazoria,Houston,20,48039,20,12,Yes,Yes,Yes,0.357051635833609,3.07828845540073
4,38,241,Wharton,Yoakum,241,48481,241,13,No,No,No,0.263143183759763,2.46735387754076
5,39,163,Medina,San Antonio,163,48325,163,15,Yes,Yes,Yes,0.321765700028721,2.49700012688161
6,40,84,Galveston,Houston,84,48167,85,12,Yes,Yes,Yes,0.160620526248156,3.01660771093405
7,41,15,Bexar,San Antonio,15,48029,15,15,Yes,Yes,Yes,0.302845733046572,2.72979170444729
8,42,89,Gonzales,Yoakum,89,48177,90,13,No,Yes,Yes,0.257804943689755,2.12491110006884
9,43,79,Fort Bend,Houston,79,48157,80,12,Yes,Yes,Yes,0.213479891595441,2.51797860295182
10,44,94,Guadalupe,San Antonio,94,48187,95,15,Yes,Yes,Yes,0.172719430375307,2.38821103504559
11,45,10,Bandera,San Antonio,10,48019,10,15,Yes,Yes,Yes,0.192677549969781,2.12084345083511
12,46,45,Colorado,Yoakum,45,48089,45,13,No,No,No,0.234963273007888,2.36117443549746
13,47,36,Chambers,Beaumont,36,48071,36,20,Yes,Yes,Yes,0.209734192867702,2.56485652216359
14,48,46,Comal,San Antonio,46,48091,46,15,Yes,Yes,Yes,0.139000633275673,1.94903710016675
15,49,193,Real,San Angelo,193,48385,193,7,No,No,No,0.169204965522353,1.86744147133485
16,50,28,Caldwell,Austin,28,48055,28,14,Yes,Yes,Yes,0.13211641236285,1.87038641887994
17,51,130,Kendall,San Antonio,130,48259,131,15,Yes,No,No,0.160452898885839,1.60634361389959
18,52,8,Austin,Yoakum,8,48015,8,13,Yes,Yes,Yes,0.15872732778864,2.48168992119786
19,53,75,Fayette,Yoakum,75,48149,76,13,No,No,No,0.232060588146065,2.03901972665413
20,54,101,Harris,Houston,101,48201,102,12,Yes,Yes,Yes,0.429773044385646,4.05630759185833
21,55,69,Edwards,San Angelo,69,48137,70,7,No,No,No,0.513424303233891,3.37030040332108
22,56,133,Kerr,San Antonio,133,48265,133,15,No,No,No,0.268287431689847,2.58999945100172
23,57,233,Val Verde,Laredo,233,48465,233,22,No,No,No,0.781933866752389,4.41738171916362
24,58,237,Waller,Houston,237,48473,237,12,Yes,Yes,Yes,0.125424258698125,2.43519967910039
25,59,123,Jefferson,Beaumont,123,48245,124,20,Yes,Yes,Yes,0.240464426507291,2.84918634466456
26,60,105,Hays,Austin,105,48209,106,14,Yes,Yes,Yes,0.164423026390336,1.80322687339621
27,61,181,Orange,Beaumont,181,48361,181,20,Yes,Yes,Yes,0.090306107996073,1.70503581936718
28,62,11,Bastrop,Austin,11,48021,11,14,Yes,Yes,Yes,0.217074808924225,1.83148220020168
29,63,239,Washington,Bryan,239,48477,239,17,No,No,No,0.150743603325659,2.54710620719614
30,64,86,Gillespie,Austin,86,48171,87,14,No,No,No,0.25784399569125,2.15099785658125
31,65,16,Blanco,Austin,16,48031,16,14,No,No,No,0.173305970669021,1.68359693121275
32,66,144,Lee,Austin,144,48287,144,14,No,No,No,0.153990528738172,2.21385385502381
33,67,146,Liberty,Beaumont,146,48291,146,20,Yes,Yes,Yes,0.284788646134068,2.40183293285756
34,68,227,Travis,Austin,227,48453,227,14,Yes,Yes,Yes,0.24899651741473,2.45827302227651
35,69,100,Hardin,Beaumont,100,48199,101,20,Yes,Yes,Yes,0.218060471562542,2.7061289081684
36,70,222,Terrell,Odessa,222,48443,222,6,No,No,No,0.572454121470593,3.84349507540613
37,71,170,Montgomery,Houston,170,48339,170,12,Yes,Yes,Yes,0.261548194256733,2.68924385333909
38,72,218,Sutton,San Angelo,218,48435,218,7,No,No,No,0.352582591640235,2.53057113410063
39,73,134,Kimble,San Angelo,134,48267,134,7,No,No,No,0.304157499700129,2.4724110604736
40,74,22,Brewster,El Paso,22,48043,22,24,No,No,No,1.49709365659172,6.00489757359769
41,75,189,Presidio,El Paso,189,48377,189,24,No,No,No,0.933759953451145,5.30846554782974
42,76,26,Burleson,Bryan,26,48051,26,17,Yes,Yes,Yes,0.164949620558991,2.48367449531026
43,77,246,Williamson,Austin,246,48491,246,14,Yes,Yes,Yes,0.276928460607061,2.48229184666354
