CntyName,DistName,Total SAT Score,COMMTYPE,Graduation Rate,Median Income by County
Anderson County,Cayuga ISD,946,Rural,93.5,"$43,967 "
Anderson County,Elkhart ISD,943,Non-metropolitan Stable,98.6,"$43,967 "
Anderson County,Frankston ISD,845,Rural,100,"$43,967 "
Anderson County,Neches ISD,1107,Rural,94.3,"$43,967 "
Anderson County,Palestine ISD,895,Independent Town,89.2,"$43,967 "
Anderson County,Westwood ISD,907,Non-metropolitan Stable,95.3,"$43,967 "
Anderson County,Slocum ISD,1048,Rural,100,"$43,967 "
Andrews County,Andrews ISD,977,Other Central City Suburban,95.8,"$60,644 "
Angelina County,Pineywoods Community Academy,984,Non-metropolitan Stable,100,"$43,658 "
Angelina County,Hudson ISD,994,Independent Town,93.7,"$43,658 "
Angelina County,Lufkin ISD,952,Non-metropolitan Stable,92.5,"$43,658 "
Angelina County,Huntington ISD,953,Non-metropolitan Stable,93.2,"$43,658 "
Angelina County,Diboll ISD,880,Rural,96.9,"$43,658 "
Angelina County,Zavalla ISD,945,Non-metropolitan Stable,96.8,"$43,658 "
Angelina County,Central ISD,985,Independent Town,95.5,"$43,658 "
Aransas County,Aransas County ISD,946,Rural,88.5,"$44,866 "
Archer County,Archer City ISD,1012,Other Central City Suburban,100,"$58,928 "
Archer County,Holliday ISD,1039,Rural,100,"$58,928 "
Archer County,Windthorst ISD,1000,Rural,97.8,"$58,928 "
Armstrong County,Claude ISD,945,Rural,100,"$54,868 "
Atascosa County,Charlotte ISD,823,Non-metropolitan Fast Growing,86.7,"$53,622 "
Atascosa County,Jourdanton ISD,952,Non-metropolitan Stable,94.5,"$53,622 "
Atascosa County,Lytle ISD,894,Independent Town,91.2,"$53,622 "
Atascosa County,Pleasanton ISD,915,Non-metropolitan Stable,98.4,"$53,622 "
Atascosa County,Poteet ISD,896,Independent Town,92,"$53,622 "
Austin County,Bellville ISD,1022,Other Central City Suburban,97.8,"$55,973 "
Austin County,Sealy ISD,983,Rural,92.4,"$55,973 "
Austin County,Brazos ISD,893,Non-metropolitan Stable,95.1,"$55,973 "
Bailey County,Muleshoe ISD,980,Rural,98.8,"$40,536 "
Bandera County,Medina ISD,1044,Major Suburban,96.6,"$55,885 "
Bandera County,Bandera ISD,1026,Independent Town,94.4,"$55,885 "
Bastrop County,Bastrop ISD,927,Non-metropolitan Stable,93.7,"$56,449 "
Bastrop County,Elgin ISD,900,Non-metropolitan Stable,94.2,"$56,449 "
Bastrop County,Smithville ISD,960,Rural,96.3,"$56,449 "
Baylor County,Seymour ISD,NAN,Rural,95,"$36,616 "
Bee County,Beeville ISD,923,Independent Town,90.7,"$40,753 "
Bee County,Pettus ISD,903,Non-metropolitan Fast Growing,83.9,"$40,753 "
Bee County,Skidmore-Tynan ISD,983,Rural,93.5,"$40,753 "
Bell County,Richard Milburn Alter High School,849,Rural,35.5,"$51,993 "
Bell County,Priority Charter Schools,980,Non-metropolitan Fast Growing,90.3,"$51,993 "
Bell County,Orenda Charter School,998,Rural,96.1,"$51,993 "
Bell County,Academy ISD,1050,Other Central City Suburban,96.3,"$51,993 "
Bell County,Bartlett ISD,NAN,Rural,90.5,"$51,993 "
Bell County,Belton ISD,988,Other Central City,98.5,"$51,993 "
Bell County,Holland ISD,968,Non-metropolitan Stable,100,"$51,993 "
Bell County,Killeen ISD,939,Other Central City Suburban,88.3,"$51,993 "
Bell County,Rogers ISD,992,Other Central City Suburban,100,"$51,993 "
Bell County,Salado ISD,1019,Non-metropolitan Stable,99.1,"$51,993 "
Bell County,Temple ISD,972,Major Suburban,88.5,"$51,993 "
Bell County,Troy ISD,936,Major Suburban,98.1,"$51,993 "
Bexar County,Por Vida Academy,900,Major Suburban,43,"$53,170 "
Bexar County,George Gervin Academy,NAN,Non-metropolitan Stable,96,"$53,170 "
Bexar County,Higgs Carter King Gifted & Talente,655,Major Urban,100,"$53,170 "
Bexar County,School Of Excellence In Education,788,Major Suburban,93.8,"$53,170 "
Bexar County,Southwest Preparatory School,909,Non-metropolitan Stable,18.9,"$53,170 "
Bexar County,Radiance Academy Of Learning,930,Major Urban,100,"$53,170 "
Bexar County,Academy Of Careers And Technologie,873,Major Suburban,67.9,"$53,170 "
Bexar County,Shekinah Radiance Academy,NAN,Major Suburban,92.9,"$53,170 "
Bexar County,San Antonio School For Inquiry & C,930,Non-metropolitan Stable,99.1,"$53,170 "
Bexar County,Jubilee Academic Center,792,Non-metropolitan Stable,93.8,"$53,170 "
Bexar County,Kipp San Antonio,871,Major Urban,98.3,"$53,170 "
Bexar County,School Of Science And Technology,1040,Major Suburban,95.5,"$53,170 "
Bexar County,Harmony Science Acad (San Antonio),977,Major Suburban,100,"$53,170 "
Bexar County,Brooks Academy Of Science And Engi,930,Rural,92.1,"$53,170 "
Bexar County,School Of Science And Technology D,1005,Non-metropolitan Stable,96.3,"$53,170 "
Bexar County,City Center Health Careers,728,Rural,92.3,"$53,170 "
Bexar County,Henry Ford Academy Alameda School,840,Non-metropolitan Stable,83.6,"$53,170 "
Bexar County,Alamo Heights ISD,1100,Rural,98.3,"$53,170 "
Bexar County,Harlandale ISD,760,Rural,82.6,"$53,170 "
Bexar County,Edgewood ISD,797,Rural,88.4,"$53,170 "
Bexar County,Randolph Field ISD,1038,Rural,92.9,"$53,170 "
Bexar County,San Antonio ISD,803,Rural,91.6,"$53,170 "
Bexar County,South San Antonio ISD,847,Rural,93.8,"$53,170 "
Bexar County,Somerset ISD,829,Rural,92.3,"$53,170 "
Bexar County,North East ISD,1016,Rural,97.2,"$53,170 "
Bexar County,East Central ISD,914,Rural,100,"$53,170 "
Bexar County,Southwest ISD,766,Rural,95.4,"$53,170 "
Bexar County,Lackland ISD,1033,Non-metropolitan Stable,87.7,"$53,170 "
Bexar County,Ft Sam Houston ISD,990,Non-metropolitan Stable,92.5,"$53,170 "
Bexar County,Northside ISD,974,Independent Town,94.6,"$53,170 "
Bexar County,Judson ISD,852,Non-metropolitan Stable,98.5,"$53,170 "
Bexar County,Southside ISD,783,Rural,100,"$53,170 "
Blanco County,Johnson City ISD,958,Rural,98.4,"$57,634 "
Blanco County,Blanco ISD,965,Rural,97.1,"$57,634 "
Bosque County,Clifton ISD,1012,Non-metropolitan Stable,100,"$47,636 "
Bosque County,Meridian ISD,934,Rural,97.7,"$47,636 "
Bosque County,Morgan ISD,800,Rural,100,"$47,636 "
Bosque County,Valley Mills ISD,888,Major Suburban,100,"$47,636 "
Bosque County,Walnut Springs ISD,1005,Other Central City Suburban,92.9,"$47,636 "
Bosque County,Iredell ISD,931,Rural,80,"$47,636 "
Bosque County,Kopperl ISD,933,Other Central City,94.9,"$47,636 "
Bosque County,Cranfills Gap ISD,957,Other Central City Suburban,98.5,"$47,636 "
Bowie County,Dekalb ISD,1160,Other Central City Suburban,97.5,"$45,455 "
Bowie County,Maud ISD,NAN,Major Suburban,93.5,"$45,455 "
Bowie County,New Boston ISD,1147,Rural,100,"$45,455 "
Bowie County,Redwater ISD,1295,Other Central City,92.6,"$45,455 "
Bowie County,Texarkana ISD,1040,Other Central City,94,"$45,455 "
Bowie County,Liberty-Eylau ISD,930,Non-metropolitan Stable,95.2,"$45,455 "
Bowie County,Pleasant Grove ISD,1203,Rural,98.6,"$45,455 "
Brazoria County,Alvin ISD,962,Rural,96.6,"$74,510 "
Brazoria County,Angleton ISD,932,Rural,97.3,"$74,510 "
Brazoria County,Danbury ISD,953,Other Central City Suburban,95.9,"$74,510 "
Brazoria County,Brazosport ISD,988,Non-metropolitan Stable,89.4,"$74,510 "
Brazoria County,Sweeny ISD,983,Independent Town,97.6,"$74,510 "
Brazoria County,Columbia-Brazoria ISD,908,Rural,91.5,"$74,510 "
Brazoria County,Pearland ISD,1054,Rural,99,"$74,510 "
Brazos County,College Station ISD,1081,Rural,93.1,"$42,279 "
Brazos County,Bryan ISD,937,Rural,82.7,"$42,279 "
