X (Lat),Y (Long),CNTY_NM,CNTY_NBR,FIPS,Shape_Leng,Shape_Area,County Location
-97.514999680000003,26.13847728,Cameron,31,48061,6.776490677,0.237848399,"(-97.514999680000003, 26.13847728)"
-97.64303323,26.47132899,Willacy,245,48489,3.324169395,0.155451086,"(-97.64303323, 26.47132899)"
-98.738348950000002,26.56212627,Starr,214,48427,2.600375286,0.288492302,"(-98.738348950000002, 26.56212627)"
-98.180886810000004,26.396626999999999,Hidalgo,109,48215,3.310209778,0.370852201,"(-98.180886810000004, 26.396626999999999)"
-98.218741269999995,27.031566900000001,Brooks,24,48047,2.056815131,0.222310537,"(-98.218741269999995, 27.031566900000001)"
-97.681377830000002,26.924094480000001,Kenedy,66,48261,5.067864307,0.389397352,"(-97.681377830000002, 26.924094480000001)"
-99.168601339999995,27.000890720000001,Zapata,253,48505,2.24698193,0.24921502,"(-99.168601339999995, 27.000890720000001)"
-98.697292099999999,27.043404989999999,Jim Hogg,125,48247,2.271751304,0.267624126,"(-98.697292099999999, 27.043404989999999)"
-97.728897779999997,27.432743949999999,Kleberg,137,48273,4.444938992,0.213851073,"(-97.728897779999997, 27.432743949999999)"
-97.617673260000004,27.726215490000001,Nueces,178,48355,9.814653083,0.203472348,"(-97.617673260000004, 27.726215490000001)"
-98.508896719999996,27.681333819999999,Duval,67,48131,2.76954491,0.425467009,"(-98.508896719999996, 27.681333819999999)"
-98.089864899999995,27.731310990000001,Jim Wells,126,48249,2.427014479,0.205830636,"(-98.089864899999995, 27.731310990000001)"
-97.518598569999995,28.00922186,San Patricio,205,48409,3.462105819,0.167653718,"(-97.518598569999995, 28.00922186)"
-99.331701640000006,27.761025239999999,Webb,240,48479,4.761420357,0.799981776,"(-99.331701640000006, 27.761025239999999)"
-96.992589510000002,28.127095619999999,Aransas,4,48007,6.125349667,0.06711832,"(-96.992589510000002, 28.127095619999999)"
-97.165469610000002,28.326814129999999,Refugio,196,48391,3.326709403,0.185681696,"(-97.165469610000002, 28.326814129999999)"
-99.760574000000005,28.421611680000002,Dimmit,64,48127,2.324663844,0.314454367,"(-99.760574000000005, 28.421611680000002)"
-99.103477299999994,28.346210320000001,La Salle,142,48283,2.402579048,0.358902539,"(-99.103477299999994, 28.346210320000001)"
-98.568422560000002,28.353510910000001,McMullen,162,48311,2.118908742,0.277594527,"(-98.568422560000002, 28.353510910000001)"
-97.741168110000004,28.417366749999999,Bee,13,48025,2.228981316,0.209983578,"(-97.741168110000004, 28.417366749999999)"
-96.647081189999994,28.489668959999999,Calhoun,29,48057,9.289508624,0.129738262,"(-96.647081189999994, 28.489668959999999)"
-98.124744930000006,28.351437499999999,Live Oak,149,48297,2.313603449,0.257196033,"(-98.124744930000006, 28.351437499999999)"
-97.426460820000003,28.657085630000001,Goliad,89,48175,2.171168793,0.205451115,"(-97.426460820000003, 28.657085630000001)"
-100.3144638,28.742609430000002,Maverick,159,48323,2.862972203,0.308980941,"(-100.3144638, 28.742609430000002)"
-99.761020009999996,28.86530621,Zavala,254,48507,2.300184353,0.311031225,"(-99.761020009999996, 28.86530621)"
-99.108260040000005,28.867267739999999,Frio,83,48163,2.113710641,0.271133775,"(-99.108260040000005, 28.867267739999999)"
-96.971766020000004,28.79640594,Victoria,235,48469,2.775292675,0.212539676,"(-96.971766020000004, 28.79640594)"
-97.859606209999995,28.904937820000001,Karnes,129,48255,1.986381859,0.179978182,"(-97.859606209999995, 28.904937820000001)"
-98.527413019999997,28.894184320000001,Atascosa,7,48013,2.273610657,0.291800502,"(-98.527413019999997, 28.894184320000001)"
-95.985338659999996,28.867110390000001,Matagorda,158,48321,8.747459315,0.272799518,"(-95.985338659999996, 28.867110390000001)"
-96.578832680000005,28.956031329999998,Jackson,121,48239,2.989531452,0.203834941,"(-96.578832680000005, 28.956031329999998)"
-97.356669760000003,29.082015989999999,De Witt,62,48123,2.065558037,0.218449329,"(-97.356669760000003, 29.082015989999999)"
-98.086210149999999,29.173158959999999,Wilson,247,48493,1.917175929,0.193944043,"(-98.086210149999999, 29.173158959999999)"
-100.4178441,29.350003019999999,Kinney,136,48271,2.431027941,0.328233005,"(-100.4178441, 29.350003019999999)"
-99.762031070000006,29.356698290000001,Uvalde,232,48463,2.475666015,0.376203913,"(-99.762031070000006, 29.356698290000001)"
-96.930209930000004,29.384370029999999,Lavaca,143,48285,1.928384427,0.233736863,"(-96.930209930000004, 29.384370029999999)"
-95.455784789999996,29.193453869999999,Brazoria,20,48039,8.449998572,0.342869742,"(-95.455784789999996, 29.193453869999999)"
-96.221973750000004,29.277836199999999,Wharton,241,48481,2.467353303,0.263143063,"(-96.221973750000004, 29.277836199999999)"
-99.110083309999993,29.355204929999999,Medina,163,48325,2.496999583,0.321765559,"(-99.110083309999993, 29.355204929999999)"
-94.964749749999996,29.394244149999999,Galveston,85,48167,9.350247709,0.09632058,"(-94.964749749999996, 29.394244149999999)"
-98.519663089999995,29.44884523,Bexar,15,48029,2.729791097,0.302845599,"(-98.519663089999995, 29.44884523)"
-97.492799270000006,29.456414949999999,Gonzales,90,48177,2.124910622,0.257804828,"(-97.492799270000006, 29.456414949999999)"
-95.770905619999994,29.527632530000002,Fort Bend,80,48157,2.517978008,0.213479793,"(-95.770905619999994, 29.527632530000002)"
-97.948503079999995,29.58257236,Guadalupe,95,48187,2.388210502,0.172719353,"(-97.948503079999995, 29.58257236)"
-99.246372820000005,29.747247529999999,Bandera,10,48019,2.120842963,0.192677466,"(-99.246372820000005, 29.747247529999999)"
-96.526308209999996,29.6208542,Colorado,45,48089,2.361173893,0.234963166,"(-96.526308209999996, 29.6208542)"
-94.608913079999994,29.739122760000001,Chambers,36,48071,3.954636694,0.152677647,"(-94.608913079999994, 29.739122760000001)"
-98.278145159999994,29.808163619999998,Comal,46,48091,1.949036658,0.139000572,"(-98.278145159999994, 29.808163619999998)"
-99.822158810000005,29.831827109999999,Real,193,48385,1.867441064,0.169204892,"(-99.822158810000005, 29.831827109999999)"
-97.619834789999999,29.83677935,Caldwell,28,48055,1.870385996,0.132116353,"(-97.619834789999999, 29.83677935)"
-98.711605109999994,29.9446397,Kendall,131,48259,1.606343256,0.160452828,"(-98.711605109999994, 29.9446397)"
-96.277918290000002,29.88711223,Austin,8,48015,2.481689338,0.158727256,"(-96.277918290000002, 29.88711223)"
-96.919680470000003,29.876832069999999,Fayette,76,48149,2.039019253,0.232060484,"(-96.919680470000003, 29.876832069999999)"
-95.397821059999998,29.85967144,Harris,102,48201,7.731110055,0.42279836,"(-95.397821059999998, 29.85967144)"
-100.30489369999999,29.98248216,Edwards,70,48137,3.37029966,0.513424083,"(-100.30489369999999, 29.98248216)"
-99.350169690000001,30.061530350000002,Kerr,133,48265,2.589998866,0.268287315,"(-99.350169690000001, 30.061530350000002)"
