County,Graduation Rate,Income
Anderson,95.8142857142857,"$43,967 "
Andrews,95.44999999999999,"$60,644 "
Angelina,95.12142857142855,"$43,658 "
Aransas,87.75,"$44,866 "
Archer,99.26666666666667,"$58,928 "
Armstrong,100.0,"$54,868 "
Atascosa,92.21,"$53,622 "
Austin,95.10000000000001,"$55,973 "
Bailey,98.8,"$40,536 "
Bandera,95.375,"$55,885 "
Bastrop,93.64999999999999,"$56,449 "
Baylor,95.0,"$36,616 "
Bee,88.5,"$40,753 "
Bell,89.125,"$51,993 "
Bexar,88.3,"$53,170 "
Blanco,96.55,"$57,634 "
Borden,100.0,"$60,306 "
Bosque,94.60625000000002,"$47,636 "
Bowie,95.68333333333332,"$45,455 "
Brazoria,94.66428571428571,"$74,510 "
Brazos,86.175,"$42,279 "
Brewster,98.56666666666666,"$43,055 "
Briscoe,95.85,"$43,376 "
Brooks,86.45,"$27,703 "
Brown,98.58571428571427,"$43,770 "
Burleson,89.80000000000001,"$48,533 "
Burnet,93.35,"$55,919 "
Caldwell,89.98333333333333,"$49,598 "
Calhoun,92.55,"$52,916 "
Callahan,95.35,"$45,727 "
Cameron,93.07500000000002,"$36,587 "
Camp,97.5,"$41,937 "
Carson,99.35000000000001,"$62,573 "
Cass,97.24285714285713,"$40,597 "
Castro,97.23333333333333,"$45,229 "
Chambers,98.25,"$80,279 "
Cherokee,92.34,"$39,407 "
Childress,90.75,"$39,140 "
Clay,99.325,"$49,171 "
Cochran,100.0,"$39,900 "
Coke,95.925,"$41,529 "
Coleman,91.06666666666666,"$42,258 "
Collin,96.80357142857142,"$90,382 "
Collingsworth,98.9,"$37,389 "
Colorado,94.63333333333334,"$48,161 "
Comal,95.30000000000001,"$76,296 "
Comanche,97.775,"$40,052 "
Concho,100.0,"$39,622 "
Cooke,97.69999999999999,"$59,243 "
Coryell,93.45,"$50,122 "
Cottle,100.0,"$34,605 "
Crane,90.7,"$57,408 "
Crockett,88.2,"$46,556 "
Crosby,95.23333333333333,"$35,136 "
Culberson,98.75,"$36,663 "
Dallam,99.325,"$48,470 "
Dallas,86.79285714285713,"$54,429 "
Dawson,98.7875,"$41,073 "
Deaf Smith,90.65,"$43,944 "
Delta,94.60000000000001,"$41,266 "
Denton,96.0409090909091,"$80,841 "
Dickens,96.65,"$38,239 "
Dimmit,83.80000000000001,"$38,275 "
Donley,92.8,"$38,777 "
Duval,91.01666666666667,"$34,777 "
Eastland,95.1,"$37,789 "
Ector,85.8,"$53,474 "
Edwards,96.15,"$36,539 "
El Paso,83.94615384615385,"$42,048 "
Ellis,95.29545454545455,"$69,448 "
Erath,86.5,"$43,787 "
Falls,88.2,"$38,559 "
Fannin,96.49374999999998,"$46,347 "
Fayette,97.38,"$53,776 "
Fisher,98.75,"$46,247 "
Floyd,95.67500000000001,"$40,536 "
Foard,100.0,"$36,056 "
Fort Bend,92.32499999999999,"$90,972 "
Franklin,99.45,"$44,202 "
Freestone,95.39999999999999,"$45,681 "
Frio,87.60000000000001,"$39,193 "
Gaines,93.66666666666667,"$51,910 "
Galveston,92.14375000000001,"$64,155 "
Garza,84.15,"$44,210 "
Gillespie,96.15,"$58,787 "
Glasscock,100.0,"$71,360 "
Goliad,99.0,"$55,264 "
Gonzales,85.05,"$45,491 "
Gray,98.36666666666667,"$47,828 "
Grayson,96.6125,"$51,808 "
Gregg,94.13125,"$45,594 "
Grimes,92.27500000000002,"$50,891 "
Guadalupe,95.6375,"$67,683 "
Hale,95.24,"$40,152 "
Hall,100.0,"$30,971 "
Hamilton,98.69999999999999,"$45,718 "
Hansford,98.55,"$57,832 "
Hardeman,96.9,"$35,521 "
Hardin,95.74000000000001,"$60,692 "
Harris,90.09666666666662,"$56,415 "
Harrison,95.48999999999998,"$47,181 "
Hartley,94.45,"$70,121 "
Haskell,97.35000000000001,"$34,653 "
Hays,91.86,"$64,864 "
Hemphill,85.19999999999999,"$74,856 "
Henderson,95.5,"$43,425 "
Hidalgo,90.23611111111111,"$35,928 "
Hill,95.57272727272725,"$47,338 "
Hockley,93.47500000000001,"$46,856 "
Hood,98.2,"$57,346 "
Hopkins,96.44285714285715,"$46,582 "
Houston,94.00999999999999,"$34,587 "
Howard,93.66666666666667,"$51,863 "
Hudspeth,97.13333333333333,"$35,252 "
Hunt,95.17499999999998,"$51,827 "
Hutchinson,95.75,"$53,936 "
Irion,100.0,"$67,249 "
Jack,98.31666666666666,"$46,975 "
Jackson,96.18333333333334,"$53,143 "
Jasper,97.71,"$44,909 "
Jeff Davis,100.0,"$46,688 "
Jefferson,90.99375,"$46,198 "
Jim Hogg,84.8,"$33,784 "
Jim Wells,88.575,"$40,056 "
Johnson,93.96666666666667,"$59,809 "
Jones,96.24000000000001,"$40,931 "
Karnes,95.475,"$47,608 "
Kaufman,91.53571428571429,"$62,363 "
Kendall,88.10000000000001,"$83,805 "
