County,Graduation,Income,SAT
Anderson,95.81428571,43967,955.8571429
Andrews,95.45,60644,977
Angelina,95.12142857,43658,956.1428571
Aransas,87.75,44866,946
Archer,99.26666667,58928,1017
Armstrong,100,54868,945
Atascosa,92.21,53622,896
Austin,95.1,55973,966
Bailey,98.8,40536,980
Bandera,95.375,55885,1035
Bastrop,93.65,56449,929
Baylor,95,36616,0
Bee,88.5,40753,936.3333333
Bell,89.125,51993,971.9090909
Bexar,88.3,53170,889
Blanco,96.55,57634,961.5
Bosque,94.60625,47636,932.5
Bowie,95.68333333,45455,1129.166667
Brazoria,94.66428571,74510,968.5714286
Brazos,86.175,42279,1009
Brewster,98.56666667,43055,972.5
Briscoe,95.85,43376,983
Brooks,86.45,27703,0
Brown,98.58571429,43770,990.1666667
Burleson,89.8,48533,963
Burnet,93.35,55919,954
Caldwell,89.98333333,49598,891.3333333
Calhoun,92.55,52916,995
Callahan,95.35,45727,945
Cameron,93.075,36587,903.6
Camp,97.5,41937,911
Carson,99.35,62573,0
Cass,97.24285714,40597,1065.666667
Castro,97.23333333,45229,1183
Chambers,98.25,80279,947.3333333
Cherokee,92.34,39407,978.6
Childress,90.75,39140,0
Clay,99.325,49171,971
Cochran,100,39900,960
Coke,95.925,41529,0
Coleman,91.06666667,42258,945
Collin,96.80357143,90382,1045
Collingsworth,98.9,37389,915
Colorado,94.63333333,48161,951
Comal,95.3,76296,937.3333333
Comanche,97.775,40052,930.3333333
Concho,100,39622,1075
Cooke,97.7,59243,998.3333333
Coryell,93.45,50122,992.75
Crane,90.7,57408,920
Crockett,88.2,46556,865
Crosby,95.23333333,35136,918
Dallam,99.325,48470,1013
Dallas,86.79285714,54429,895.5806452
Dawson,98.7875,41073,836
Deaf Smith,90.65,43944,1095
Delta,94.6,41266,919
Denton,96.04090909,80841,1039.846154
Dickens,96.65,38239,0
Dimmit,83.8,38275,825
Duval,91.01666667,34777,862
Eastland,95.1,37789,957
Ector,85.8,53474,909
El Paso,83.94615385,42048,850.8461538
Ellis,95.29545455,69448,963.1
Erath,86.5,43787,930.8333333
Falls,88.2,38559,876.3333333
Fannin,96.49375,46347,999.2857143
Fayette,97.38,53776,1009
Fisher,98.75,46247,0
Floyd,95.675,40536,845
Foard,100,36056,0
Fort Bend,92.325,90972,969.25
Franklin,99.45,44202,1115
Freestone,95.4,45681,959
Frio,87.6,39193,884.5
Gaines,93.66666667,51910,908
Galveston,92.14375,64155,906.6
Gillespie,96.15,58787,976
Glasscock,100,71360,0
Goliad,99,55264,935
Gonzales,85.05,45491,879
Gray,98.36666667,47828,941
Grayson,96.6125,51808,1016.363636
Gregg,94.13125,45594,982.625
Grimes,92.275,50891,964.5
Guadalupe,95.6375,67683,964.75
Hale,95.24,40152,1043.5
Hamilton,98.7,45718,986
Hansford,98.55,57832,1142.5
Hardeman,96.9,35521,927
Hardin,95.74,60692,948.6
Harris,90.09666667,56415,896.3714286
Harrison,95.49,47181,952
Hartley,94.45,70121,0
Haskell,97.35,34653,0
Hays,91.86,64864,1019.8
Hemphill,85.2,74856,1017
Henderson,95.5,43425,960.6666667
Hidalgo,90.23611111,35928,908.7647059
Hill,95.57272727,47338,952.875
Hockley,93.475,46856,1009.6
Hood,98.2,57346,1021.666667
Hopkins,96.44285714,46582,943.75
Houston,94.01,34587,884.8
Howard,93.66666667,51863,1026
Hudspeth,97.13333333,35252,854.5
Hunt,95.175,51827,962.7
Hutchinson,95.75,53936,934.5
Irion,100,67249,1128
Jack,98.31666667,46975,950.6666667
Jackson,96.18333333,53143,985
Jasper,97.71,44909,992.4
Jeff Davis,100,46688,892
Jefferson,90.99375,46198,911.8888889
Jim Wells,88.575,40056,966.6666667
Johnson,93.96666667,59809,960.2222222
Jones,96.24,40931,980.25
Karnes,95.475,47608,911.3333333
Kaufman,91.53571429,62363,941.5714286
Kendall,88.1,83805,1010.5
Kerr,94.65,50461,933
Kimble,98.1,40118,859
Kinney,93,40612,934
Kleberg,91.56666667,44106,900.3333333
Knox,97.9,37586,0
La Salle,87.6,39926,836
Lamar,96.05,41887,978.5
Lamb,97.64,37846,884
Lampasas,98.6,52637,911.5
Lavaca,96.66666667,48975,999
Lee,97.03333333,51768,985.3333333
Leon,97.72,44891,873.4
Liberty,93.86666667,48592,896.1666667
Limestone,92.25,39382,848
Live Oak,91.15,51953,975.5
Llano,100,48135,1011
Lubbock,93.35,48587,959.1
Lynn,100,39869,901.6666667
Madison,83.6,42429,907
Marion,94.3,34919,0
Martin,97.6,58760,1072.5
Mason,100,44818,949
Matagorda,92.2625,46324,955.25
Maverick,87.3,35654,872
McCulloch,94.06666667,40125,882
McLennan,95.82894737,46662,973.0526316
McMullen,100,67249,1016
Medina,91.84,51304,976.8
Midland,91.475,68729,976
Milam,94.97,42302,970.2
Mills,95.7,43540,1015.5
Mitchell,94.76666667,41262,1040
Montague,97.23333333,46237,995.6
Montgomery,93.1,72506,990.3333333
Moore,97.4,52344,984.5
Morris,95.875,38255,910
Motley,100,37464,967
Nacogdoches,95.0375,38099,989.7142857
Navarro,97.72142857,44111,908.5714286
Newton,92.26666667,41388,945.5
Nolan,97.4875,40969,1042.666667
Nueces,87.71818182,53562,956.8
Ochiltree,91.1,61194,865
Oldham,100,54212,949
Orange,91.44,53611,934.8
Palo Pinto,96.66,43589,927
Panola,92.075,47780,975.75
Parker,95.39375,67735,992.7142857
Parmer,97.325,48344,1080
Pecos,95.56666667,45414,929.3333333
Polk,94.75833333,43014,849.1666667
Potter,96.6125,41563,972
Presidio,93.075,32742,793
Rains,92,47354,1029
Randall,96.85,65795,1035
Reagan,96.45,67308,1045
Real,68.55,36744,1160
Red River,97.5,36352,964
Reeves,97.875,40092,887
Refugio,97.3,45366,1001
Robertson,97.22,42680,925.75
Rockwall,95.275,97484,1000.5
Runnels,98.2,40112,1014.666667
Rusk,94.06875,46421,922.4
Sabine,92.75,38451,917.5
San Augustine,95.1,36426,895.5
San Jacinto,90.6,45794,906.5
San Patricio,93.5,51667,922.8571429
San Saba,95.38333333,39995,984.3333333
Schleicher,97.7,47258,915
Scurry,96.66666667,50316,792
Shackelford,87.2,55403,987.5
Shelby,95.51,37410,847.5
Smith,93.2,52520,953.375
Somervell,84.45,56944,921.5
Starr,93.46666667,26691,942.5
Stephens,91.35,42831,946
Sutton,95,54760,920
Swisher,92.8,38790,1113
Tarrant,93.52368421,61553,983.7391304
Taylor,89.725,48215,1017.8
Terrell,90,41114,0
Terry,96.95,38910,903.6666667
Throckmorton,96.15,42876,923
Titus,94.75,45324,937.5
Tom Green,94.72857143,48221,1009.714286
Travis,88.77083333,70068,1028.833333
Trinity,94.225,38973,918.5
Tyler,93.89,43617,958
Upshur,95.34285714,49015,964.8333333
Upton,96.375,56335,1055
Uvalde,89.225,36913,936.25
Val Verde,93.05,42104,1002.5
Van Zandt,91.6125,49751,985.5714286
Victoria,84.45,53659,903.5
Walker,64.68333333,42709,932.3333333
Waller,94.28333333,56407,838.6666667
Ward,98.125,63809,965
Washington,95.475,53157,987
Webb,87.775,36718,868
Wharton,98.06,46097,963.4
Wheeler,91.25,47476,0
Wichita,95.92,45071,929.1666667
Wilbarger,96.78333333,40955,1039
Willacy,89.95,31225,863.75
Williamson,96.675,82370,1003.3
Wilson,96.2625,66045,947.25
Wise,97.92142857,57609,959.2857143
Wood,96.99166667,47260,955.6666667
Yoakum,96.55,57114,1029
Young,95.3,52133,1003
Zapata,90.95,34136,917
Zavala,93.7,25507,798
